가마저,,,,,,,,,,,
,위치,구분,식당이름,추천메뉴,특징,,,,,,
,구영리,카페,Citron,마카롱,,,,,,,
,구영리,카페,콜프로스터스,카이막 등 브런치 메뉴 ,"갓 오픈한 신상, 라떼 맛집",,,,,,
,구영리,카페,카페점촌6길,,정나루 뒤 아기자기 카페,,,,,,
,구영리,카페,WB커피,"에그타르트, 파이유, 음료(쏘쏘)",에그타르트 맛집임(갓구운거 해달라면 해줌-꽤기다려야함),,,,,,
,구영리,한식,경아식당,,구영리 새로생긴 부대찌개 돼지짜글이 자극적인맛,,,,,,
,구영리,한식,개미집,낙지곱창,,,,,,,
,구영리,한식,고여사송탄부대찌개,,김치가 맛있음 사장님이 직접 만드신다함,,,,,,
,구영리,한식,곤들애전복,"곤드레돌솥밥, 전복돌솥밥 등","전복해물뚝배기+찰옥수수솥밥=20,000원 비싸도 너무 맛있, 반찬 너무 잘나와요",,,,,,
,구영리,한식,구영밀면,,여름에 가면 에어컨+선풍기 빵빵. 진짜 극강의 시원함 느낄 수 있음.,,,,,,
,구영리,한식,구영화로구이,떡갈비정식,,,,,,,
,구영리,한식,국수나무,,,,,,,,
,구영리,분식,그리즐리버거,,수제버거 배달가능,,,,,,
,구영리,한식,꼬꼬사우나,찜닭 납작만두,,,,,,,
,구영리,한식,눈꽃대패,제육,점심 제육 8500원 샐바에 커피에 아이스크림까지 굿,,,,,,
,구영리,한식,대구돼지국밥,,,,,,,,
,구영리,한식,대독장,김치찌개,,,술집도 리스트업해줘여,,,,
,구영리,한식,댓잎장어★,"히츠마부시 장어덮밥, 장어구이","장어덮밥JMT.. 점심특선 21000(가격오름ㅠ 24,000) 저녁25000 점심에만 먹는걸루.. ",,ㄴ추가하심됩니다,,,,
,구영리,한식,도가,"간장게장, 생선구이",구영리 도가는 장사 안함,,,,,,
,구영리,한식,도원,"중국음식, 사천탕수육",매운탕수육!!,,,,,,
,구영리,한식,돈미소,점심특선 가성비 굿,굳굳,,,,,,
,구영리,한식,돈통마늘보쌈,,,,,,,, 
,구영리,한식,돼지영농후계자,쫄깃목살,,,,,,,
,구영리,중식,라화공방,,2단계(신라면맵기) 신라면보다 매움. 마라샹궈는 1단계+미니전 사이드 추천,,,,,,
,구영리,카페,랑콩뜨레,제과,,,,,,,
,구영리,카페,리밤커피,선바위한우갈비 바로옆 아이스크림커피 맛있음,비쌈,,,,,,
,구영리,카페,마운트,샌드위치,"잠봉샌드위치굿(소스가 대박), 루꼴라샌드위치도 맛있음(그릴드라 포장은 비추)",,,,,,
,구영리,카페,머스트커피,호주식커피,,,,,,,
,구영리,한식,명륜진사갈비,,,,,,,,
,구영리,한식,백천집,오리불고기정식,존맛탱 ㅠ 가성비갑 / 누가 써주셨죠? 넘나 잘먹음 감사합니다 / 진짜 맛있었어요! 고맙습니다,,,,,,
,구영리,카페,범산목장,아이스크림,,,,,,,
,구영리,한식,범서냉면,코다리냉면 한우국밥,,,,,,,
,구영리,한식,본가어탕,"어탕, 어탕수제비, 어탕칼국수",멸망... 이제 해장은 어데서 하노ㅠㅠㅠ <언양으로 가자!!! -> 해장은 굴화 은희네지!!,,,,,,
,구영리,한식,본죽,,,,,,,,
,구영리,분식,빨강떡볶이,,,,,,,,
,구영리,중식,사천냥짬뽕,중국음식,,,,,,,
,구영리,한식,샤브나인,,인기 많아서 예약 안받아줌..,,,,,,
,구영리,한식,샤브향,,,,,,,,
,구영리,한식,선바위한우갈비,"갈비탕, 소고기국밥",점심 식사는 따로 예약안받음. 선착순,,,,,,
,구영리,한식,성민준삼계탕,삼계탕 닭도리탕,맛있음. 대신 닭크기 기대 ㄴㄴ,,,,,,
,구영리,한식,비프브라운,"소갈비, 늑간살",댓잎장어 옆집. 분위기 있는 곳에서 소고기 먹고 싶을 때,,,,,,
,구영리,한식,소반,돌솥밥,"돌솥밥 도시락 가능, 여름에 톳도시락+오이냉국 좋음",,,,,,
,구영리,카페,솜케이크,주문케이크,,,,,,,
,구영리,일식,스시곤,비빔밥 칼국수 추어탕,코스요리 꼭 먹으세요... 두 번 세 번 드세요!!!!!!!!!!!! (23.2월부터 영업종료한다고 함),,,,,,
,구영리,한식,시골나들이,,파전맛있음,,,,,,
,구영리,한식,시골여행,"추어탕, 칼국수, 수제비","진송추어탕 이름, 위치바뀐곳",,,,,,
,구영리,분식,써브웨이,,,,,,,,
,구영리,한식,아라쭈꾸미,,,,,,,,
